from,to,text,where,time,movie_num,text_processed
qui-gon,bibble,"The negotiations never took place. Your Highness, we must make contact with the republic.",EXT. PALACE - PLAZA - DAY,126,1,the negotiations never took place your highness we must make contact with the republic
capt. panaka,qui-gon,They've knocked out all our communications.,EXT. PALACE - PLAZA - DAY,54,1,theyve knocked out all our communications
qui-gon,capt. panaka,Do you have transports?,EXT. PALACE - PLAZA - DAY,36,1,do you have transports
capt. panaka,qui-gon,In the main hanger. This way.,EXT. PALACE - PLAZA - DAY,54,1,in the main hanger this way
capt. panaka,qui-gon,There are too many of them.,INT. CENTRAL HANGER - HALLWAY - DAY,54,1,there are too many of them
qui-gon,amidala,"That won't be a problem. Your Highness, under the circumstances, I suggest you come to Coruscant with us.",INT. CENTRAL HANGER - HALLWAY - DAY,162,1,that wont be a problem your highness under the circumstances i suggest you come to coruscant with us
amidala,qui-gon,"Thank you, Ambassador, but my place is here with my people.",INT. CENTRAL HANGER - HALLWAY - DAY,99,1,thank you ambassador but my place is here with my people
qui-gon,amidala,They will kill you if you stay.,INT. CENTRAL HANGER - HALLWAY - DAY,63,1,they will kill you if you stay
bibble,qui-gon,They wouldn't dare.,INT. CENTRAL HANGER - HALLWAY - DAY,0,1,they wouldnt dare
capt. panaka,qui-gon,They need her to sign a treaty to make this invasion of theirs legal. They can't afford to kill her.,INT. CENTRAL HANGER - HALLWAY - DAY,180,1,they need her to sign a treaty to make this invasion of theirs legal they cant afford to kill her
qui-gon,amidala,"The situation here is not what it seems. There is something else behind all this, Your Highness. There is no logic in the Federation's move here. My feelings tell me they will destroy you.",INT. CENTRAL HANGER - HALLWAY - DAY,306,1,the situation here is not what it seems there is something else behind all this your highness there is no logic in the federations move here my feelings tell me they will destroy you
bibble,amidala,Our only hope is for the Senate to side with us Senator Palpatine will need your help.,INT. CENTRAL HANGER - HALLWAY - DAY,153,1,our only hope is for the senate to side with us senator palpatine will need your help
amidala,bibble,Either choice presents a great risk to all of us,INT. CENTRAL HANGER - HALLWAY - DAY,90,1,either choice presents a great risk to all of us
padme,amidala,"We are brave, Your Highness.",INT. CENTRAL HANGER - HALLWAY - DAY,45,1,we are brave your highness
qui-gon,amidala,"If you are to leave, Your Highness, it must be now.",INT. CENTRAL HANGER - HALLWAY - DAY,99,1,if you are to leave your highness it must be now
amidala,qui-gon,"Then, I will plead our case before the Senate. Be careful, Governor.",INT. CENTRAL HANGER - HALLWAY - DAY,108,1,then i will plead our case before the senate be careful governor
capt. panaka,qui-gon,We need to free those pilots.,INT. CENTRAL HANGER - DAY,54,1,we need to free those pilots
qui-gon,capt. panaka,Ill deal with that.,INT. CENTRAL HANGER - DAY,36,1,ill deal with that
guard droid,qui-gon,Halt.,INT. CENTRAL HANGER - DAY,9,1,halt
qui-gon guard droid,,"I'm Ambassador for the Supreme Chancellor, and I'm taking those people to Coruscant.",INT. CENTRAL HANGER - DAY,117,1,im ambassador for the supreme chancellor and im taking those people to coruscant
guard droid,qui-gon,Where are you taking them?,INT. CENTRAL HANGER - DAY,45,1,where are you taking them
qui-gon guard droid,,To Coruscant.,INT. CENTRAL HANGER - DAY,18,1,to coruscant
guard droid,qui-gon,"Coruscant? U h, that doesn't compute. Uh, wait. U h, you're under arrest.",INT. CENTRAL HANGER - DAY,117,1,coruscant u h that doesnt compute uh wait u h youre under arrest
capt. panaka,padme,Come on. Move!,INT. CENTRAL HANGER - DAY,27,1,come on move
obi-wan,pilots,GO!,INT. CENTRAL HANGER - DAY,9,1,go
ric olie,,our communications are still jammed.,INT. NABOO SPACECRAFT - COCKPIT,45,1,our communications are still jammed
obi-wan,jar jar,"Now stay here, and keep out of trouble.",INT. NABOO SPACECRAFT - DROID HOLD,72,1,now stay here and keep out of trouble
jar jar,jar jar,"Ello, boyos.",INT. NABOO SPACECRAFT - DROID HOLD,18,1,ello boyos
ric olie,qui-gon,There's the blockade.,INT. NABOO SPACECRAFT - DROID HOLD,27,1,theres the blockade
ric olie,qui-gon,The shield generator's been hit!,INT. NABOO SPACECRAFT - DROID HOLD,45,1,the shield generators been hit
obi-wan,ric olie,We're losing droids fast.,INT. NABOO SPACECRAFT - DROID HOLD,36,1,were losing droids fast
ric olie,obi-wan,"If we can't get the shield generator fixed, we'll be sitting ducks.",INT. NABOO SPACECRAFT - DROID HOLD,108,1,if we cant get the shield generator fixed well be sitting ducks
ric olie,obi-wan,The shields are gone.,INT. NABOO SPACECRAFT - DROID HOLD,36,1,the shields are gone
ric olie,obi-wan,"Powers back! That little droid did it. He bypassed the main power drive. Deflector shield up, at maximum.",INT. NABOO SPACECRAFT - DROID HOLD,162,1,powers back that little droid did it he bypassed the main power drive deflector shield up at maximum
ric olie,obi-wan,There's not enough power to get us to Coruscant the hyperdrive is leaking.,INT. NABOO SPACECRAFT - DROID HOLD,117,1,theres not enough power to get us to coruscant the hyperdrive is leaking
qui-gon,ric olie,We'll have to land somewhere to refuel and repair the ship.,INT. NABOO SPACECRAFT - DROID HOLD,99,1,well have to land somewhere to refuel and repair the ship
obi-wan,qui-gon,"Here, Master. Tatooine It's small, out of the way, poor The Trade Federation has no presence there.",INT. NABOO SPACECRAFT - DROID HOLD,153,1,here master tatooine its small out of the way poor the trade federation has no presence there
capt. panaka,obi-wan,How can you be sure?,INT. NABOO SPACECRAFT - DROID HOLD,45,1,how can you be sure
qui-gon,capt. panaka,It's controlled by the Hutts,INT. NABOO SPACECRAFT - DROID HOLD,45,1,its controlled by the hutts
capt. panaka,qui-gon,You can't take Her Royal Highness there! The Hutts are gangsters If they discovered her,INT. NABOO SPACECRAFT - DROID HOLD,135,1,you cant take her royal highness there the hutts are gangsters if they discovered her
qui-gon,capt. panaka,"It would be no different than if we landed on a system controlled by the Federation except the Hutts aren't looking for her, which gives us an advantage.",INT. NABOO SPACECRAFT - DROID HOLD,252,1,it would be no different than if we landed on a system controlled by the federation except the hutts arent looking for her which gives us an advantage
darth sidious,nute,"And Queen Amidala, has she signed the treaty?",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,72,1,and queen amidala has she signed the treaty
nute,darth sidious,"She has disappeared, My Lord. One Naboo cruiser got pat the blockade.",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,108,1,she has disappeared my lord one naboo cruiser got pat the blockade
darth sidious,nute,"Viceroy, find her! I want that treaty signed.",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,72,1,viceroy find her i want that treaty signed
nute,darth sidious,"My Lord, it's impossible to locate the ship. It's out of our range.",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,117,1,my lord its impossible to locate the ship its out of our range
darth sidious,nute,"not for a Sith. Viceroy, this is my apprentice. Lord Maul. He will find your lost ship.",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,153,1,not for a sith viceroy this is my apprentice lord maul he will find your lost ship
nute,rune,This is getting out of hand now there are two of them.,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,108,1,this is getting out of hand now there are two of them
rune,nute,We should not have made this bargain.,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,63,1,we should not have made this bargain
capt. panaka,amidala,"An extremely well put together little droid. Without a doubt, it saved the ship, as well as our lives.",INT. NABOO SPACECRAFT - QUEENS CHAMBERS,171,1,an extremely well put together little droid without a doubt it saved the ship as well as our lives
amidala,capt. panaka,It is to be commended what is its number?,INT. NABOO SPACECRAFT - QUEENS CHAMBERS,81,1,it is to be commended what is its number
capt. panaka,amidala,"R2-D2, Your Highness.",INT. NABOO SPACECRAFT - QUEENS CHAMBERS,27,1,rd your highness
amidala,artoo,"Thank you, ARTOO Detoo. You have proven to be very loyal Padme",INT. NABOO SPACECRAFT - QUEENS CHAMBERS,108,1,thank you artoo detoo you have proven to be very loyal padme
artoo,amidala,Beeps,INT. NABOO SPACECRAFT - QUEENS CHAMBERS,9,1,beeps
amidala,padme,Clean this droid up the best you can. It deserves our gratitude.,INT. NABOO SPACECRAFT - QUEENS CHAMBERS,108,1,clean this droid up the best you can it deserves our gratitude
amidala,capt. panaka,"Continue, Captain.",INT. NABOO SPACECRAFT - QUEENS CHAMBERS,18,1,continue captain
qui-gon,amidala,"Yor Highness, we are heading for a remote planet called Tatooine. It is a system far beyond the reach of the Trade Federation.",INT. NABOO SPACECRAFT - QUEENS CHAMBERS,207,1,yor highness we are heading for a remote planet called tatooine it is a system far beyond the reach of the trade federation
capt. panaka,amidala,I do not agree with the Jedi on this.,INT. NABOO SPACECRAFT - QUEENS CHAMBERS,81,1,i do not agree with the jedi on this
qui-gon,amidala,"You must trust my judgement, Your Highness.",INT. NABOO SPACECRAFT - QUEENS CHAMBERS,63,1,you must trust my judgement your highness
jar jar,padme,"Hidoe! Sorry, nomeanen to scare yousa.",INT. NABOO SPACECRAFT - MAIN AREA,54,1,hidoe sorry nomeanen to scare yousa
artoo,padme,beeps,INT. NABOO SPACECRAFT - MAIN AREA,9,1,beeps
jar jar,padme,Mesa Ja Ja Binksss,INT. NABOO SPACECRAFT - MAIN AREA,36,1,mesa ja ja binksss
padme,jar jar,"I'm Padme, I attend Her Highness, You're a Gungan, aren't you? How did you end up here with us?",INT. NABOO SPACECRAFT - MAIN AREA,171,1,im padme i attend her highness youre a gungan arent you how did you end up here with us
jar jar,padme,"Me no know mesa day starten pitty okeyday witda brisky morning munchen. Den boom getten berry skeered, un grabbed dat Jedi, and before mesa knowen it pow! Mesa here. Getten berry berry skeered.",INT. NABOO SPACECRAFT - MAIN AREA,297,1,me no know mesa day starten pitty okeyday witda brisky morning munchen den boom getten berry skeered un grabbed dat jedi and before mesa knowen it pow mesa here getten berry berry skeered
artoo,jar jar,beeps,INT. NABOO SPACECRAFT - MAIN AREA,9,1,beeps
obi-wan,qui-gon,That's it. Tatooine.,INT. ANBOO SPACECRAFT - COCKPIT,27,1,thats it tatooine
ric olie,qui-gon,"There's a settlement a spaceport, looks like.",INT. ANBOO SPACECRAFT - COCKPIT,63,1,theres a settlement a spaceport looks like
qui-gon,ric olie,Land near the outskirts. We don't want to attract any attention.,INT. ANBOO SPACECRAFT - COCKPIT,99,1,land near the outskirts we dont want to attract any attention
obi-wan,qui-gon,The Hyperdrive generator is gone. We will need a new one.,EXT. NABOO SPACECRAFT - MAIN AREA,99,1,the hyperdrive generator is gone we will need a new one
qui-gon,x_x,That'll complicate things. Be wary. I sense a disturbance in the Force.,EXT. NABOO SPACECRAFT - MAIN AREA,108,1,thatll complicate things be wary i sense a disturbance in the force
obi-wan,x_x,"I fell it also, Master.",EXT. NABOO SPACECRAFT - MAIN AREA,45,1,i fell it also master
qui-gon,x_x,Don't let them send any transmissions.,EXT. NABOO SPACECRAFT - MAIN AREA,54,1,dont let them send any transmissions
jar jar,qui-gon,Dis sun doen murder tada skin.,EXT. TATOOINE - DESERT - SPACESHIP - DAY,54,1,dis sun doen murder tada skin
capt. panaka,qui-gon,Wait ! Her Highness commands you to take her handmaiden with you. She wishes for her to observe the local,EXT. TATOOINE - DESERT - SPACESHIP - DAY,180,1,wait  her highness commands you to take her handmaiden with you she wishes for her to observe the local
qui-gon,capt. panaka,"No more commands from Her Highness today, Captain. This spaceport is not going to be pleasant",EXT. TATOOINE - DESERT - SPACESHIP - DAY,144,1,no more commands from her highness today captain this spaceport is not going to be pleasant
capt. panaka,qui-gon,The Queen wishes it. She is curious about this planet.,EXT. TATOOINE - DESERT - SPACESHIP - DAY,90,1,the queen wishes it she is curious about this planet
qui-gon,capt. panaka,This is not a good idea. Stay close to me.,EXT. TATOOINE - DESERT - SPACESHIP - DAY,90,1,this is not a good idea stay close to me
artoo,qui-gon,beeps,EXT. TATOOINE - DESERT - SPACESHIP - DAY,9,1,beeps
qui-gon,padme,"moisture farms for the most part, but also a few indigenous tribes and scavengers. The few spaceports like this one are havens for those who do not wish to be found",EXT. MOS ESPA - STREET - DAY,279,1,moisture farms for the most part but also a few indigenous tribes and scavengers the few spaceports like this one are havens for those who do not wish to be found
padme,qui-gon,like us.,EXT. MOS ESPA - STREET - DAY,18,1,like us
jar jar,qui-gon,"Dissen berry, berry bad. Icky, icky goo!",EXT. MOS ESPA - STREET - DAY,63,1,dissen berry berry bad icky icky goo
qui-gon,padme,We'll try one of the smaller dealers.,EXT. MOS ESPA - JUNK DEALER PLAZA - DAY,63,1,well try one of the smaller dealers
watto,qui-gon,Good day to you.,INT. WATTO'S JUNK SHOP - DAY,36,1,good day to you
qui-gon,watto,I need parts for a J-type 327 Nubian.,INT. WATTO'S JUNK SHOP - DAY,72,1,i need parts for a jtype  nubian
watto,qui-gon,"Ah yes, ah yes. Nubian. We have lots of that. What kinda junk? Peedenkel! Naba dee unko",INT. WATTO'S JUNK SHOP - DAY,153,1,ah yes ah yes nubian we have lots of that what kinda junk peedenkel naba dee unko
qui-gon,watto,My droid here has a readout of what I need.,INT. WATTO'S JUNK SHOP - DAY,90,1,my droid here has a readout of what i need
watto,qui-gon,Coona tee-tocky malia?,INT. WATTO'S JUNK SHOP - DAY,27,1,coona teetocky malia
anakin,watto,Mel tassa cho-passa,INT. WATTO'S JUNK SHOP - DAY,27,1,mel tassa chopassa
watto,anakin,"Chut-Chut! Ganda doe wallya. Me dwana no bata. Soooo, let me take- a thee out back. Ni you'll find what you need.",INT. WATTO'S JUNK SHOP - DAY,198,1,chutchut ganda doe wallya me dwana no bata soooo let me take a thee out back ni youll find what you need
qui-gon,jar jar,Don't touch anything.,INT. WATTO'S JUNK SHOP - DAY,27,1,dont touch anything
anakin,padme,Are you an angel?,INT. WATTO'S JUNK SHOP - DAY,36,1,are you an angel
padme,anakin,What?,INT. WATTO'S JUNK SHOP - DAY,9,1,what
anakin,padme,"An angel. I've heard the deep space pilots talk about them. They live on the Moons of Iego I thimk. They are the most beautiful creatures in the universe. They are good and kind, and so pretty they make even the most hardened spice pirate cry.",INT. WATTO'S JUNK SHOP - DAY,414,1,an angel ive heard the deep space pilots talk about them they live on the moons of iego i thimk they are the most beautiful creatures in the universe they are good and kind and so pretty they make even the most hardened spice pirate cry
padme,anakin,You're a funny little boy. How do you know so much?,INT. WATTO'S JUNK SHOP - DAY,99,1,youre a funny little boy how do you know so much
anakin,padme,"I listen to all the traders and star pilots who come through here. I'm a pilot, you know, and someday I'm gonna fly away from this place.",INT. WATTO'S JUNK SHOP - DAY,243,1,i listen to all the traders and star pilots who come through here im a pilot you know and someday im gonna fly away from this place
padme,anakin,You're a pilot?,INT. WATTO'S JUNK SHOP - DAY,27,1,youre a pilot
anakin,padme,All mylife.,INT. WATTO'S JUNK SHOP - DAY,18,1,all mylife
padme,anakin,How long have you been here?,INT. WATTO'S JUNK SHOP - DAY,54,1,how long have you been here
anakin,padme,"Since I was very little, three, I think. My Mom and I were sold to Gardulla the Hutt, but she lost us, betting on the Podraces, to Watto, who's a lot better master than Gardulla, I think.",INT. WATTO'S JUNK SHOP - DAY,333,1,since i was very little three i think my mom and i were sold to gardulla the hutt but she lost us betting on the podraces to watto whos a lot better master than gardulla i think
